,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Avg_PINCP_mf_t,Total_Avg_PINCP_m,Total_Avg_PINCP_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Avg_PINCP_mf_t,BABS_Avg_PINCP_m,BABS_Avg_PINCP_f,Total_HS,Total_HS_m,Total_HS_f,HS_Avg_PINCP_mf_t,HS_Avg_PINCP_m,HS_Avg_PINCP_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Avg_PINCP_mf_t,HSINC_Avg_PINCP_m,HSINC_Avg_PINCP_f
110,Westchester County (Southwest)--Yonkers City PUMA,22695,12003,10692,72767.28446794448,78478.67599766725,66355.59044145155,13656,6506,7150,86098.71272700644,97342.23762680602,75867.89132867134,8938,5435,3503,52843.309465204744,56530.809567617296,47122.05252640594,101,62,39,33425.74257425743,23000.0,50000.0
111,Nassau County (West Central)--North Hempstead Town (South) PUMA,17300,9663,7637,89125.0460115607,108957.48628790231,64031.30889092576,9499,5566,3933,112413.8025055269,137731.7786561265,76583.68421052632,7613,3996,3617,60941.322212005776,70191.21871871872,50722.19408349461,188,101,87,53714.36170212766,57000.0,49900.0
112,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",12021,6852,5169,72010.9957574245,76875.18096906012,65563.05668407815,6416,3488,2928,89757.73690773068,102931.39334862385,74064.52868852459,5605,3364,2241,51696.43889384478,49858.513674197384,54455.377063810796,0,0,0,#DIV/0!,0.0,0.0
113,Jefferson & Lewis Counties PUMA,41684,25542,16142,50599.114576336244,57567.52094589304,39572.78354602899,10740,6681,4059,81746.541433892,95787.59976051489,58635.353781719634,28422,16942,11480,40572.78119062698,45066.793530870025,33940.58980836237,2522,1919,603,30950.059476605868,34867.6654507556,18482.587064676616
114,Suffolk County (Central)--Brookhaven Town (West Central) PUMA,27718,16001,11717,74159.30052673352,85982.66370851822,58013.04856191858,10905,5480,5425,83553.75809261807,102066.83065693431,64852.995391705066,16376,10231,6145,68298.83732291158,78061.80920731112,52044.16436126932,437,290,147,59340.96109839817,61489.65517241379,55102.04081632653
115,Suffolk County (Northwest)--Huntington Town (South) PUMA,22800,14499,8301,111902.17057017544,131906.73349886198,76961.06011323936,14045,8932,5113,135543.1090779637,162667.77955665023,88158.49012321534,8489,5374,3115,75354.75580162564,84439.36025307034,59681.99036918138,266,193,73,30000.0,30000.0,30000.0
116,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,562,269,293,28616.97508896797,32277.695167286245,25256.109215017066,141,141,0,28449.64539007092,28449.64539007092,0.0,339,128,211,24481.828908554573,36494.53125,17194.502369668247,82,0,82,46000.0,0.0,46000.0
117,"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA",18231,10240,7991,73690.20788766387,83526.363671875,61085.748467025405,8527,3897,4630,91444.52210625073,118683.57813702848,68517.82634989201,9405,6044,3361,59100.58904837852,63690.0,50847.56917584052,299,299,0,26279.933110367892,26279.933110367892,0.0
118,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,30309,16803,13506,57186.76703289452,64991.57114800929,47476.70309492078,10862,4758,6104,77381.06260357209,106384.47246742329,54773.22771952818,18657,11454,7203,45991.53561665863,48330.40946394273,42272.32680827433,790,591,199,43919.670886075946,54652.35194585448,12045.226130653265
119,Monroe County (Central)--Greece & Gates Towns PUMA,37383,21101,16282,51266.27129978868,57072.03829202407,43742.16558162388,12446,6307,6139,61692.70287642616,69368.50959251625,53806.83987620134,23768,13742,10026,46494.78458431504,52865.25178285548,37763.19070416916,1169,1052,117,37272.54063301968,38303.80228136882,28000.0
