,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Avg_PINCP_mf_t,Total_Avg_PINCP_m,Total_Avg_PINCP_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Avg_PINCP_mf_t,BABS_Avg_PINCP_m,BABS_Avg_PINCP_f,Total_HS,Total_HS_m,Total_HS_f,HS_Avg_PINCP_mf_t,HS_Avg_PINCP_m,HS_Avg_PINCP_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Avg_PINCP_mf_t,HSINC_Avg_PINCP_m,HSINC_Avg_PINCP_f
89,Suffolk County (East) PUMA,1182,914,268,59582.74111675127,56483.5886214442,70152.23880597015,87,26,61,94609.19540229885,150000.0,71000.0,998,791,207,60376.55310621243,57883.69152970923,69902.4154589372,97,97,0,20000.0,20000.0,0.0
90,"NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel PUMA",3842,2427,1415,55716.085372201975,48677.379480840544,67788.83392226149,839,447,392,122276.51966626936,120751.67785234899,124015.30612244898,2376,1422,954,41923.90572390572,38334.739803094235,47273.79454926625,627,558,69,18915.470494417863,17297.491039426524,32000.0
91,NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA,2225,1535,690,49410.0404494382,49393.70684039088,49446.3768115942,587,239,348,70360.37478705282,71357.9079497908,69675.28735632185,786,444,342,24919.847328244276,21882.882882882885,28862.573099415204,852,852,0,57569.01408450704,57569.01408450704,0.0
92,Albany County (Outside Albany City) PUMA,1760,634,1126,84832.04545454546,168659.6214511041,37632.50444049734,1092,313,779,110065.56776556777,283555.910543131,40357.637997432605,395,118,277,42454.6835443038,96898.30508474576,19262.093862815884,273,203,70,45213.18681318681,33217.73399014778,80000.0
93,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA",8913,3503,5410,32200.492538987994,27971.53868113046,34938.75970425139,1607,152,1455,47148.22650902302,29210.526315789473,49022.13058419244,5718,2305,3413,28563.551941238195,24793.449023861172,31109.724582478757,1588,1046,542,30169.64735516373,34794.83747609943,21243.542435424355
94,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",5421,3254,2167,47322.32060505442,52239.950829748006,39937.93262574988,1650,863,787,60515.757575757576,65006.952491309385,55590.851334180436,3355,1975,1380,44419.94038748137,53789.06329113924,31011.231884057972,416,416,0,18400.0,18400.0,0.0
95,Nassau County (West Central)--Hempstead Town (West Central) PUMA,5428,2780,2648,61164.506816507004,68054.65575539568,53930.891238670694,1339,602,737,100736.37042569081,142259.13621262458,66819.53867028494,3193,1377,1816,50885.98277481992,58326.755991285405,45243.94273127753,896,801,95,38656.25,29008.739076154805,120000.0
96,Erie County (West Central)--Buffalo City (East) PUMA,1399,800,599,28738.098641887063,22489.5,37083.47245409015,579,105,474,33062.17616580311,16000.0,36841.77215189873,611,486,125,27081.178396072013,24272.83950617284,38000.0,209,209,0,21602.87081339713,21602.87081339713,0.0
97,NYC-Queens Community District 6--Forest Hills & Rego Park PUMA,3389,1822,1567,82798.02242549424,101977.61251372118,60497.31206126356,2307,1187,1120,96281.05765062853,123721.14574557709,67199.46428571429,899,523,376,61270.45383759733,69323.6137667304,50068.85106382979,183,112,71,18579.016393442624,24017.5,10000.0
98,"NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale PUMA",6404,2358,4046,59057.27670206121,61927.39609838847,57384.57736035591,2398,540,1858,69884.48707256047,73505.55555555556,68832.07750269107,4006,1818,2188,52576.08587119321,58488.33883388339,47663.6197440585,0,0,0,#DIV/0!,0.0,0.0
