,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Avg_PINCP_mf_t,Total_Avg_PINCP_m,Total_Avg_PINCP_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Avg_PINCP_mf_t,BABS_Avg_PINCP_m,BABS_Avg_PINCP_f,Total_HS,Total_HS_m,Total_HS_f,HS_Avg_PINCP_mf_t,HS_Avg_PINCP_m,HS_Avg_PINCP_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Avg_PINCP_mf_t,HSINC_Avg_PINCP_m,HSINC_Avg_PINCP_f
75,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,1854,1090,764,80504.02858683927,94995.37155963303,59829.206806282724,802,465,337,104029.76309226932,122056.94623655915,79155.45994065281,812,509,303,62134.77709359606,69684.31237721021,49452.55445544554,240,116,124,64038.166666666664,97578.96551724138,32661.290322580644
76,Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA,102,48,54,39209.80392156863,57916.666666666664,22581.48148148148,46,10,36,45217.391304347824,110000.0,27222.222222222223,38,20,18,12615.78947368421,12000.0,13300.0,18,18,0,80000.0,80000.0,0.0
77,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",3348,1650,1698,118865.45937873358,118607.06545454546,119116.54888103652,2871,1392,1479,131286.89655172414,134018.52011494254,128715.9567275186,289,144,145,32293.695501730104,14568.597222222223,49896.55172413793,188,114,74,62255.31914893617,61842.10526315789,62891.89189189189
78,Jefferson & Lewis Counties PUMA,366,130,236,57476.502732240435,106811.53846153847,30300.42372881356,144,63,81,92393.75,172842.85714285713,29822.222222222223,182,27,155,34350.0,56162.96296296296,30550.322580645163,40,40,0,37000.0,37000.0,0.0
79,Fulton & Montgomery Counties PUMA,363,131,232,32191.515151515152,41726.10687022901,26807.758620689656,57,6,51,19682.80701754386,81020.0,12466.666666666666,279,98,181,34862.36559139785,42275.510204081635,30848.618784530387,27,27,0,31000.0,31000.0,0.0
80,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA",1941,1123,818,88279.87635239567,109603.50845948352,59005.50122249389,1461,757,704,102249.37713894593,140942.0607661823,60643.75,399,306,93,44624.81203007519,45120.91503267974,42992.47311827957,81,60,21,51353.08641975309,43076.666666666664,75000.0
81,NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights PUMA,1027,652,375,94303.44206426485,110046.92024539877,66930.78133333333,746,413,333,119507.55361930295,160932.42615012106,68130.75975975976,223,203,20,28632.286995515697,23908.86699507389,76575.0,58,36,22,22620.689655172413,12000.0,40000.0
82,NYC-Queens Community District 3--Jackson Heights & North Corona PUMA,1894,1316,578,72538.69060190074,80284.26291793313,54903.4429065744,1199,774,425,79594.81234361968,91879.83204134367,57221.623529411765,541,420,121,54025.87800369686,54221.42857142857,53347.10743801653,154,122,32,82637.01298701299,96443.44262295082,30000.0
83,Monroe County (North & West) PUMA,809,315,494,50673.189122373304,55045.23809523809,47885.34412955466,340,72,268,57137.94117647059,65569.44444444444,54872.76119402985,403,177,226,49646.92307692308,62475.98870056497,39599.38053097345,66,66,0,23636.363636363636,23636.363636363636,0.0
84,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,222,174,48,73920.72072072072,58502.29885057471,129812.5,74,50,24,157005.4054054054,134928.0,203000.0,128,104,24,33687.5,28394.23076923077,56625.0,20,20,0,24000.0,24000.0,0.0
