,puma,BABS_UnEmp_Total,BABS_UnEmp_M,BABS_UnEmp_F,HS_UnEmp_Total,HS_UnEmp_M,HS_UnEmp_F,HSINC_UnEmp_Total,HSINC_UnEmp_M,HSINC_UnEmp_F
121,Suffolk County (Northwest)--Smithtown Town PUMA,0.7666616061940185,0.0,1.6592738623295546,3.6079632465543647,0.7765697803416907,7.0988920804267535,0.0,0.0,0.0
122,Broome County (West Central)--Greater Binghamton City & Greater Johnson City Village PUMA,0.577657691232647,1.1067475901463764,0.0,6.45037959473483,9.749970092116282,3.678391959798995,12.43119266055046,18.703007518796994,6.451612903225806
123,"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA",8.01980198019802,10.636515912897822,4.23728813559322,3.333012233888835,2.7353926311871977,3.9744357898941485,7.232994767620807,8.132045088566828,4.313725490196078
124,Suffolk County (Central)--Brookhaven Town (Central) PUMA,1.4447182799354126,0.0,2.711323763955343,2.9915925230593423,4.006573284294546,1.8851829736415593,15.896820635872825,10.876369327073553,32.390745501285345
125,NYC-Queens Community District 10--Howard Beach & Ozone Park PUMA,2.7656929770043504,9.081632653061225,0.0,4.895014813860621,4.03899721448468,5.9623733719247465,0.0,0.0,0.0
126,Erie County (South) PUMA,1.1144130757800892,1.4444248722917032,0.8233649215473047,3.229590240850798,4.566187650203541,1.713490959666203,6.315789473684211,0.0,9.852216748768473
127,"NYC-Bronx Community District 11--Pelham Parkway, Morris Park & Laconia PUMA",2.199703410776075,5.456774984671981,0.0,26.893869235043528,13.917175831636117,42.47859763554831,0.0,0.0,#DIV/0!
128,"NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel PUMA",3.2001954317820935,4.26028596440035,2.4369747899159666,5.484051482932289,4.389691305579156,7.595628415300546,9.142053445850914,17.90633608815427,0.0
129,"NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville PUMA",0.0,0.0,0.0,7.292793767582774,9.527326440177253,4.129639309984317,24.019607843137255,24.019607843137255,#DIV/0!
130,Nassau County (West Central)--North Hempstead Town (South) PUMA,5.7402345472180585,9.101868595539482,3.1112507856693905,6.354629313290058,3.0828164903319957,11.79145195513792,0.0,0.0,#DIV/0!
131,Monroe County (Central)--Greece & Gates Towns PUMA,7.556109725685786,11.569230769230769,4.821802935010482,2.4955551963795055,2.5116108530921535,2.477523848740649,9.55743879472693,9.877488514548238,9.04645476772616
132,"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA",5.144742762861857,4.6293073442394705,5.535055350553505,4.235946159936659,0.0,9.898242368177614,0.0,0.0,0.0
133,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA",5.4312354312354305,10.72533516672396,2.7155704461294303,12.833037300177619,11.355893708834886,15.597110072248194,0.0,0.0,0.0
134,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",24.69304229195089,0.0,100.0,16.909620991253643,#DIV/0!,16.909620991253643,0.0,#DIV/0!,0.0
135,Nassau County (Southwest)--Hempstead Town (Southwest) & Long Beach City PUMA,1.5873984980768059,2.7008624602814346,0.2907360909211048,0.0,0.0,0.0,0.0,0.0,#DIV/0!
136,NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA,0.0,0.0,0.0,13.016845329249618,24.519230769230766,0.0,0.0,0.0,0.0
137,NYC-Manhattan Community District 8--Upper East Side PUMA,2.7768392940457227,3.3632203579002193,2.330064062588582,0.0,0.0,0.0,0.0,0.0,#DIV/0!
